date,region,marketing_channel,campaign,campaign_type,customer_eligibility,discount_rate,marketing_spend,stockout_rate,delivery_delay_rate,payment_failure_rate,source_system,refresh_cadence
2017-01-02,Parana,Affiliate,No Promotion,None,All Customers,0.0,119.38,0.0352,0.1163,0.0229,Simulated_Business_Context,Daily
2017-01-02,Bahia,Organic,No Promotion,None,All Customers,0.0,42.32,0.0425,0.0586,0.0164,Simulated_Business_Context,Daily
2017-01-02,Bahia,Paid Search,No Promotion,None,All Customers,0.0,178.43,0.0323,0.0979,0.0288,Simulated_Business_Context,Daily
2017-01-02,Bahia,Social,No Promotion,None,All Customers,0.0,132.33,0.0248,0.0421,0.0214,Simulated_Business_Context,Daily
2017-01-02,Bahia,Email,No Promotion,None,All Customers,0.0,73.24,0.0376,0.0489,0.0264,Simulated_Business_Context,Daily
2017-01-02,Bahia,Affiliate,No Promotion,None,All Customers,0.0,77.66,0.0244,0.0838,0.0255,Simulated_Business_Context,Daily
2017-01-03,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,45.06,0.0393,0.094,0.0337,Simulated_Business_Context,Daily
2017-01-03,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,191.1,0.0185,0.0566,0.0291,Simulated_Business_Context,Daily
2017-01-03,Sao Paulo,Social,No Promotion,None,All Customers,0.0,136.35,0.0412,0.1763,0.0296,Simulated_Business_Context,Daily
2017-01-03,Sao Paulo,Email,No Promotion,None,All Customers,0.0,76.38,0.0464,0.0963,0.0225,Simulated_Business_Context,Daily
2017-01-03,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,90.88,0.0257,0.0741,0.0211,Simulated_Business_Context,Daily
2017-01-03,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,32.26,0.0628,0.0333,0.0305,Simulated_Business_Context,Daily
2017-01-03,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,156.72,0.0293,0.1072,0.0255,Simulated_Business_Context,Daily
2017-01-03,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,123.12,0.0264,0.097,0.0192,Simulated_Business_Context,Daily
2017-01-03,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,75.32,0.0355,0.0637,0.0422,Simulated_Business_Context,Daily
2017-01-03,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,99.21,0.0107,0.0847,0.0197,Simulated_Business_Context,Daily
2017-01-03,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,44.16,0.0255,0.0771,0.029,Simulated_Business_Context,Daily
2017-01-03,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,165.89,0.0206,0.0716,0.0212,Simulated_Business_Context,Daily
2017-01-03,Minas Gerais,Social,No Promotion,None,All Customers,0.0,133.22,0.0562,0.0901,0.0149,Simulated_Business_Context,Daily
2017-01-03,Minas Gerais,Email,No Promotion,None,All Customers,0.0,65.93,0.0605,0.1058,0.0128,Simulated_Business_Context,Daily
2017-01-03,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,98.37,0.0502,0.0623,0.0286,Simulated_Business_Context,Daily
2017-01-03,Parana,Organic,No Promotion,None,All Customers,0.0,35.08,0.0239,0.0785,0.005,Simulated_Business_Context,Daily
2017-01-03,Parana,Paid Search,No Promotion,None,All Customers,0.0,149.11,0.032,0.0488,0.0381,Simulated_Business_Context,Daily
2017-01-03,Parana,Social,No Promotion,None,All Customers,0.0,99.32,0.0297,0.0833,0.0365,Simulated_Business_Context,Daily
2017-01-03,Parana,Email,No Promotion,None,All Customers,0.0,73.88,0.049,0.0803,0.0171,Simulated_Business_Context,Daily
2017-01-03,Parana,Affiliate,No Promotion,None,All Customers,0.0,85.84,0.0374,0.065,0.0256,Simulated_Business_Context,Daily
2017-01-03,Bahia,Organic,No Promotion,None,All Customers,0.0,34.06,0.0364,0.0966,0.0377,Simulated_Business_Context,Daily
2017-01-03,Bahia,Paid Search,No Promotion,None,All Customers,0.0,192.71,0.0606,0.0312,0.0238,Simulated_Business_Context,Daily
2017-01-03,Bahia,Social,No Promotion,None,All Customers,0.0,112.9,0.0384,0.0644,0.0233,Simulated_Business_Context,Daily
2017-01-03,Bahia,Email,No Promotion,None,All Customers,0.0,64.18,0.0279,0.1012,0.0279,Simulated_Business_Context,Daily
2017-01-03,Bahia,Affiliate,No Promotion,None,All Customers,0.0,96.8,0.0458,0.0877,0.0315,Simulated_Business_Context,Daily
2017-01-04,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,42.93,0.0251,0.066,0.031,Simulated_Business_Context,Daily
2017-01-04,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,167.22,0.0347,0.0829,0.0352,Simulated_Business_Context,Daily
2017-01-04,Sao Paulo,Social,No Promotion,None,All Customers,0.0,135.82,0.0416,0.0749,0.0233,Simulated_Business_Context,Daily
2017-01-04,Sao Paulo,Email,No Promotion,None,All Customers,0.0,70.18,0.0449,0.1003,0.0354,Simulated_Business_Context,Daily
2017-01-04,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,88.59,0.0432,0.0722,0.0276,Simulated_Business_Context,Daily
2017-01-04,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,50.04,0.0362,0.0949,0.0185,Simulated_Business_Context,Daily
2017-01-04,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,197.1,0.0229,0.0496,0.0343,Simulated_Business_Context,Daily
2017-01-04,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,107.08,0.0425,0.0957,0.0249,Simulated_Business_Context,Daily
2017-01-04,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,68.76,0.0359,0.0631,0.0328,Simulated_Business_Context,Daily
2017-01-04,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,83.91,0.0251,0.072,0.0283,Simulated_Business_Context,Daily
2017-01-04,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,37.57,0.0251,0.0861,0.027,Simulated_Business_Context,Daily
2017-01-04,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,149.6,0.0293,0.0858,0.0134,Simulated_Business_Context,Daily
2017-01-04,Minas Gerais,Social,No Promotion,None,All Customers,0.0,141.25,0.0264,0.0747,0.0275,Simulated_Business_Context,Daily
2017-01-04,Minas Gerais,Email,No Promotion,None,All Customers,0.0,61.58,0.0453,0.076,0.0248,Simulated_Business_Context,Daily
2017-01-04,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,81.07,0.0348,0.0728,0.0276,Simulated_Business_Context,Daily
2017-01-04,Parana,Organic,No Promotion,None,All Customers,0.0,41.93,0.0412,0.1183,0.0241,Simulated_Business_Context,Daily
2017-01-04,Parana,Paid Search,No Promotion,None,All Customers,0.0,180.27,0.0433,0.07,0.0268,Simulated_Business_Context,Daily
2017-01-04,Parana,Social,No Promotion,None,All Customers,0.0,127.17,0.0362,0.0607,0.0252,Simulated_Business_Context,Daily
2017-01-04,Parana,Email,No Promotion,None,All Customers,0.0,63.55,0.0524,0.104,0.0422,Simulated_Business_Context,Daily
2017-01-04,Parana,Affiliate,No Promotion,None,All Customers,0.0,81.27,0.0455,0.0846,0.0425,Simulated_Business_Context,Daily
2017-01-04,Bahia,Organic,No Promotion,None,All Customers,0.0,37.48,0.0249,0.065,0.008,Simulated_Business_Context,Daily
2017-01-04,Bahia,Paid Search,No Promotion,None,All Customers,0.0,220.53,0.0259,0.0838,0.0277,Simulated_Business_Context,Daily
2017-01-04,Bahia,Social,No Promotion,None,All Customers,0.0,127.08,0.0464,0.0656,0.0178,Simulated_Business_Context,Daily
2017-01-04,Bahia,Email,No Promotion,None,All Customers,0.0,66.06,0.0192,0.1258,0.0344,Simulated_Business_Context,Daily
2017-01-04,Bahia,Affiliate,No Promotion,None,All Customers,0.0,103.37,0.0144,0.1138,0.0241,Simulated_Business_Context,Daily
2017-01-05,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,40.23,0.0159,0.065,0.025,Simulated_Business_Context,Daily
2017-01-05,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,176.92,0.0296,0.0956,0.0165,Simulated_Business_Context,Daily
2017-01-05,Sao Paulo,Social,No Promotion,None,All Customers,0.0,103.81,0.0364,0.0929,0.0307,Simulated_Business_Context,Daily
2017-01-05,Sao Paulo,Email,No Promotion,None,All Customers,0.0,63.71,0.0166,0.1119,0.0277,Simulated_Business_Context,Daily
2017-01-05,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,90.73,0.0536,0.0829,0.0344,Simulated_Business_Context,Daily
2017-01-05,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,44.66,0.0597,0.1239,0.023,Simulated_Business_Context,Daily
2017-01-05,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,194.82,0.0427,0.1142,0.0173,Simulated_Business_Context,Daily
2017-01-05,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,90.64,0.0477,0.036,0.0155,Simulated_Business_Context,Daily
2017-01-05,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,70.62,0.0318,0.0979,0.037,Simulated_Business_Context,Daily
2017-01-05,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,89.4,0.0545,0.0455,0.0114,Simulated_Business_Context,Daily
2017-01-05,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,39.57,0.0396,0.0792,0.0085,Simulated_Business_Context,Daily
2017-01-05,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,159.7,0.0193,0.0967,0.0279,Simulated_Business_Context,Daily
2017-01-05,Minas Gerais,Social,No Promotion,None,All Customers,0.0,133.75,0.0288,0.0535,0.0245,Simulated_Business_Context,Daily
2017-01-05,Minas Gerais,Email,No Promotion,None,All Customers,0.0,63.34,0.0232,0.0926,0.0208,Simulated_Business_Context,Daily
2017-01-05,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,77.06,0.0337,0.0541,0.0206,Simulated_Business_Context,Daily
2017-01-05,Parana,Organic,No Promotion,None,All Customers,0.0,41.03,0.0586,0.0809,0.0194,Simulated_Business_Context,Daily
2017-01-05,Parana,Paid Search,No Promotion,None,All Customers,0.0,196.36,0.0337,0.0745,0.0299,Simulated_Business_Context,Daily
2017-01-05,Parana,Social,No Promotion,None,All Customers,0.0,86.85,0.0286,0.0656,0.0228,Simulated_Business_Context,Daily
2017-01-05,Parana,Email,No Promotion,None,All Customers,0.0,67.91,0.0168,0.1142,0.0382,Simulated_Business_Context,Daily
2017-01-05,Parana,Affiliate,No Promotion,None,All Customers,0.0,102.09,0.0419,0.0878,0.0496,Simulated_Business_Context,Daily
2017-01-05,Bahia,Organic,No Promotion,None,All Customers,0.0,40.98,0.0335,0.0561,0.0121,Simulated_Business_Context,Daily
2017-01-05,Bahia,Paid Search,No Promotion,None,All Customers,0.0,156.64,0.0259,0.0444,0.0198,Simulated_Business_Context,Daily
2017-01-05,Bahia,Social,No Promotion,None,All Customers,0.0,141.31,0.0552,0.102,0.0249,Simulated_Business_Context,Daily
2017-01-05,Bahia,Email,No Promotion,None,All Customers,0.0,74.53,0.0359,0.0585,0.0372,Simulated_Business_Context,Daily
2017-01-05,Bahia,Affiliate,No Promotion,None,All Customers,0.0,75.07,0.0226,0.0752,0.018,Simulated_Business_Context,Daily
2017-01-06,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,42.7,0.0461,0.1277,0.0138,Simulated_Business_Context,Daily
2017-01-06,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,161.34,0.0272,0.0678,0.0203,Simulated_Business_Context,Daily
2017-01-06,Sao Paulo,Social,No Promotion,None,All Customers,0.0,119.28,0.0356,0.0592,0.0272,Simulated_Business_Context,Daily
2017-01-06,Sao Paulo,Email,No Promotion,None,All Customers,0.0,76.35,0.0321,0.0573,0.0204,Simulated_Business_Context,Daily
2017-01-06,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,98.11,0.041,0.0556,0.0258,Simulated_Business_Context,Daily
2017-01-06,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,42.74,0.015,0.0936,0.0197,Simulated_Business_Context,Daily
2017-01-06,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,181.04,0.0258,0.0349,0.012,Simulated_Business_Context,Daily
2017-01-06,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,96.07,0.0381,0.0574,0.0301,Simulated_Business_Context,Daily
2017-01-06,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,70.4,0.0342,0.0497,0.0198,Simulated_Business_Context,Daily
2017-01-06,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,83.77,0.0247,0.0704,0.0331,Simulated_Business_Context,Daily
2017-01-06,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,46.92,0.045,0.0518,0.0292,Simulated_Business_Context,Daily
2017-01-06,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,175.61,0.0053,0.0601,0.0296,Simulated_Business_Context,Daily
2017-01-06,Minas Gerais,Social,No Promotion,None,All Customers,0.0,117.76,0.0395,0.0649,0.0257,Simulated_Business_Context,Daily
2017-01-06,Minas Gerais,Email,No Promotion,None,All Customers,0.0,66.54,0.049,0.0864,0.0277,Simulated_Business_Context,Daily
2017-01-06,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,85.45,0.0291,0.0692,0.0282,Simulated_Business_Context,Daily
2017-01-06,Parana,Organic,No Promotion,None,All Customers,0.0,38.44,0.0385,0.1319,0.032,Simulated_Business_Context,Daily
2017-01-06,Parana,Paid Search,No Promotion,None,All Customers,0.0,158.23,0.0494,0.0698,0.0087,Simulated_Business_Context,Daily
2017-01-06,Parana,Social,No Promotion,None,All Customers,0.0,144.14,0.0126,0.0712,0.0251,Simulated_Business_Context,Daily
2017-01-06,Parana,Email,No Promotion,None,All Customers,0.0,51.43,0.0389,0.0745,0.0316,Simulated_Business_Context,Daily
2017-01-06,Parana,Affiliate,No Promotion,None,All Customers,0.0,102.35,0.0378,0.0993,0.0132,Simulated_Business_Context,Daily
2017-01-06,Bahia,Organic,No Promotion,None,All Customers,0.0,50.9,0.0391,0.0696,0.0301,Simulated_Business_Context,Daily
2017-01-06,Bahia,Paid Search,No Promotion,None,All Customers,0.0,161.64,0.0372,0.0862,0.0213,Simulated_Business_Context,Daily
2017-01-06,Bahia,Social,No Promotion,None,All Customers,0.0,113.12,0.045,0.0586,0.0256,Simulated_Business_Context,Daily
2017-01-06,Bahia,Email,No Promotion,None,All Customers,0.0,65.72,0.0407,0.0883,0.0333,Simulated_Business_Context,Daily
2017-01-06,Bahia,Affiliate,No Promotion,None,All Customers,0.0,94.07,0.0318,0.0555,0.0214,Simulated_Business_Context,Daily
2017-01-07,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,46.51,0.0441,0.0569,0.032,Simulated_Business_Context,Daily
2017-01-07,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,153.12,0.04,0.1269,0.0188,Simulated_Business_Context,Daily
2017-01-07,Sao Paulo,Social,No Promotion,None,All Customers,0.0,119.2,0.0137,0.1174,0.0302,Simulated_Business_Context,Daily
2017-01-07,Sao Paulo,Email,No Promotion,None,All Customers,0.0,71.09,0.0384,0.0519,0.0446,Simulated_Business_Context,Daily
2017-01-07,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,92.42,0.0363,0.0981,0.0288,Simulated_Business_Context,Daily
2017-01-07,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,46.46,0.0255,0.0918,0.0401,Simulated_Business_Context,Daily
2017-01-07,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,177.28,0.0541,0.0672,0.0171,Simulated_Business_Context,Daily
2017-01-07,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,142.03,0.0357,0.1074,0.0115,Simulated_Business_Context,Daily
2017-01-07,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,56.1,0.0331,0.0693,0.0169,Simulated_Business_Context,Daily
2017-01-07,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,76.01,0.0449,0.0818,0.0147,Simulated_Business_Context,Daily
2017-01-07,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,32.78,0.031,0.1217,0.0229,Simulated_Business_Context,Daily
2017-01-07,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,178.83,0.0321,0.0732,0.005,Simulated_Business_Context,Daily
2017-01-07,Minas Gerais,Social,No Promotion,None,All Customers,0.0,136.22,0.0322,0.0974,0.0398,Simulated_Business_Context,Daily
2017-01-07,Minas Gerais,Email,No Promotion,None,All Customers,0.0,70.5,0.0318,0.0523,0.0456,Simulated_Business_Context,Daily
2017-01-07,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,88.44,0.0352,0.0794,0.0266,Simulated_Business_Context,Daily
2017-01-07,Parana,Organic,No Promotion,None,All Customers,0.0,37.39,0.0281,0.0663,0.0247,Simulated_Business_Context,Daily
2017-01-07,Parana,Paid Search,No Promotion,None,All Customers,0.0,212.49,0.0264,0.0827,0.023,Simulated_Business_Context,Daily
2017-01-07,Parana,Social,No Promotion,None,All Customers,0.0,90.14,0.005,0.1073,0.035,Simulated_Business_Context,Daily
2017-01-07,Parana,Email,No Promotion,None,All Customers,0.0,63.47,0.0309,0.0707,0.0137,Simulated_Business_Context,Daily
2017-01-07,Parana,Affiliate,No Promotion,None,All Customers,0.0,103.73,0.0217,0.1238,0.0325,Simulated_Business_Context,Daily
2017-01-07,Bahia,Organic,No Promotion,None,All Customers,0.0,42.35,0.0437,0.0518,0.0208,Simulated_Business_Context,Daily
2017-01-07,Bahia,Paid Search,No Promotion,None,All Customers,0.0,171.9,0.0203,0.0978,0.0231,Simulated_Business_Context,Daily
2017-01-07,Bahia,Social,No Promotion,None,All Customers,0.0,136.69,0.0435,0.0911,0.0221,Simulated_Business_Context,Daily
2017-01-07,Bahia,Email,No Promotion,None,All Customers,0.0,67.4,0.022,0.0954,0.0297,Simulated_Business_Context,Daily
2017-01-07,Bahia,Affiliate,No Promotion,None,All Customers,0.0,88.0,0.0389,0.0487,0.0324,Simulated_Business_Context,Daily
2017-01-08,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,33.24,0.0287,0.1062,0.0194,Simulated_Business_Context,Daily
2017-01-08,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,217.9,0.0163,0.0952,0.0148,Simulated_Business_Context,Daily
2017-01-08,Sao Paulo,Social,No Promotion,None,All Customers,0.0,118.61,0.01,0.1224,0.0267,Simulated_Business_Context,Daily
2017-01-08,Sao Paulo,Email,No Promotion,None,All Customers,0.0,79.27,0.0285,0.09,0.0247,Simulated_Business_Context,Daily
2017-01-08,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,89.38,0.0364,0.0838,0.0221,Simulated_Business_Context,Daily
2017-01-08,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,43.57,0.0387,0.0372,0.0142,Simulated_Business_Context,Daily
2017-01-08,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,187.51,0.0371,0.0754,0.0251,Simulated_Business_Context,Daily
2017-01-08,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,105.91,0.0285,0.0605,0.0266,Simulated_Business_Context,Daily
2017-01-08,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,73.97,0.0399,0.0374,0.0332,Simulated_Business_Context,Daily
2017-01-08,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,100.96,0.0381,0.1046,0.0383,Simulated_Business_Context,Daily
2017-01-08,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,40.13,0.0129,0.048,0.02,Simulated_Business_Context,Daily
2017-01-08,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,163.68,0.0412,0.0619,0.0265,Simulated_Business_Context,Daily
2017-01-08,Minas Gerais,Social,No Promotion,None,All Customers,0.0,100.54,0.0277,0.0448,0.0176,Simulated_Business_Context,Daily
2017-01-08,Minas Gerais,Email,No Promotion,None,All Customers,0.0,92.11,0.0233,0.1063,0.0174,Simulated_Business_Context,Daily
2017-01-08,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,97.56,0.0409,0.0846,0.0181,Simulated_Business_Context,Daily
2017-01-08,Parana,Organic,No Promotion,None,All Customers,0.0,39.54,0.0281,0.0831,0.0455,Simulated_Business_Context,Daily
2017-01-08,Parana,Paid Search,No Promotion,None,All Customers,0.0,218.25,0.0488,0.0624,0.0247,Simulated_Business_Context,Daily
2017-01-08,Parana,Social,No Promotion,None,All Customers,0.0,111.9,0.0275,0.1253,0.0307,Simulated_Business_Context,Daily
2017-01-08,Parana,Email,No Promotion,None,All Customers,0.0,56.81,0.0426,0.1043,0.03,Simulated_Business_Context,Daily
2017-01-08,Parana,Affiliate,No Promotion,None,All Customers,0.0,96.7,0.0263,0.0738,0.0244,Simulated_Business_Context,Daily
2017-01-08,Bahia,Organic,No Promotion,None,All Customers,0.0,42.93,0.0371,0.0466,0.028,Simulated_Business_Context,Daily
2017-01-08,Bahia,Paid Search,No Promotion,None,All Customers,0.0,189.92,0.0417,0.107,0.0317,Simulated_Business_Context,Daily
2017-01-08,Bahia,Social,No Promotion,None,All Customers,0.0,122.99,0.0342,0.0385,0.0284,Simulated_Business_Context,Daily
2017-01-08,Bahia,Email,No Promotion,None,All Customers,0.0,78.85,0.0383,0.0481,0.0164,Simulated_Business_Context,Daily
2017-01-08,Bahia,Affiliate,No Promotion,None,All Customers,0.0,90.32,0.0345,0.097,0.0252,Simulated_Business_Context,Daily
